_id,BIN,SumAREA,WMeanAREA,MaxAREA,MaxVIEWS,MaxSOLAR,WMeanVIEWS,WMeanSOLAR,WMeanCOMPACTNESS,MaxWIDTH,HEIGHTROOF,YEAR,NAME,BBL,LandUseString,ASPECT,SUBWAY800,SUBWAY400,SBIN
1,1001682,52102.66,4542.04,4779.17,26.57,5.03,233.44,3.25,0.96,55.58,156.314474,1977,,1001620001,COMMERCIAL,CORNERBLOCK,3,0,S1001682
2,1001683,2943.93,736.04,740.02,0.86,1.75,11.92,0.81,0.97,21.52,40.321137,1910,,1001620006,MIXED,SIDEBLOCK,3,0,S1001683
3,1001684,1251.3,417.1,417.1,0.14,0.4,3.96,0.4,0.94,14.93,33.823835,1910,,1001620007,MIXED,SIDEBLOCK,3,0,S1001684
4,1001685,9703.66,1940.73,1942.88,1.24,1.6,11.53,0.66,0.74,22.51,48.754633,1900,,1001620008,MIXED,SIDEBLOCK,3,0,S1001685
5,1001686,9073.97,1814.9,1840.63,2.16,2.62,19.37,0.68,0.75,22.51,54.067462,1915,,1001620009,COMMERCIAL,SIDEBLOCK,3,0,S1001686
6,1001687,10670.36,1778.41,1786.81,1.45,2.31,10.9,0.52,0.67,22.15,54.399513,1920,,1001620010,MIXED,SIDEBLOCK,3,0,S1001687
7,1001688,20337.1,2259.77,2308.86,14.53,6.4,119.41,1.53,0.79,25.59,86.548277,1910,,1001620011,COMMERCIAL,SIDEBLOCK,3,0,S1001688
8,1001689,13815.47,2302.61,2303.47,0.9,0.72,12.05,0.33,0.8,25.33,52.370308,1915,,1001620012,MIXED,SIDEBLOCK,4,0,S1001689
9,1001690,11852.35,1693.27,1696.61,3.67,2.88,18.42,0.72,0.69,21.72,63.918332,1915,,1001620013,MIXED,SIDEBLOCK,3,0,S1001690
10,1001691,11093.17,1848.92,1854.08,0.18,0.85,4.93,0.41,0.66,23.23,59.45408,1910,,1001620014,MIXED,SIDEBLOCK,3,0,S1001691
11,1001692,11358.61,2271.72,2273.87,0.34,0.88,7.49,0.44,0.77,24.9,58.826871,1920,,1001620015,MIXED,SIDEBLOCK,3,0,S1001692
12,1001693,5684.63,1894.88,1903.92,0.36,0.31,9.61,0.29,0.7,23.23,35.5794,1910,,1001620016,MIXED,SIDEBLOCK,3,0,S1001693
13,1001694,9808.39,1634.82,1654.95,0.19,3.54,3.34,1.17,0.7,21.75,66.017482,1910,,1001620017,MIXED,SIDEBLOCK,4,0,S1001694
14,1001695,10204.18,1457.75,1458.51,4.52,6.75,38.41,1.38,0.81,25.62,64.168905,1920,,1001620018,MIXED,CORNERBLOCK,4,0,S1001695
15,1001696,3112.81,778.34,789.85,0.84,0.21,16.89,0.05,0.91,23.79,47.053635,1910,,1001620021,MIXED,SIDEBLOCK,4,0,S1001696
16,1001697,7836.12,1119.45,1119.45,2.77,7.41,22.88,1.66,0.83,21.98,58.962916,1915,,1001620022,MIXED,SIDEBLOCK,4,0,S1001697
17,1001698,6189.24,1237.85,1243.23,0.34,0.53,7.15,0.13,0.87,20.51,46.676999,1915,,1001620023,MIXED,SIDEBLOCK,4,0,S1001698
18,1001699,7523.97,1253.99,1253.99,0.84,5.59,10.1,1.06,0.89,21.29,48.488681,1920,,1001620024,OTHER,SIDEBLOCK,4,0,S1001699
19,1001700,10903.83,2725.96,2728.65,0.67,2.26,14.68,0.81,0.96,46.56,34.6455,1915,,1001620026,MIXED,SIDEBLOCK,4,0,S1001700
20,1001701,6940.02,2313.38,2316.93,0.49,0.14,12.49,0.05,0.96,42.55,27.819991,1920,,1001620028,MIXED,SIDEBLOCK,4,0,S1001701
21,1001702,6446.28,1289.3,1291.67,1.66,1.75,19.71,0.37,0.96,30.71,53.653931,1920,,1001620030,MIXED,SIDEBLOCK,4,0,S1001702
22,1001703,7332.91,1222.13,1224.39,1.19,3.56,17.47,0.94,0.94,29.23,54.978294,1920,,1001620033,MIXED,SIDEBLOCK,4,0,S1001703
23,1001704,2906.25,968.75,968.75,1.22,0.86,33.22,0.57,0.93,21.03,30.328827,1915,,1001620034,MIXED,CORNERBLOCK,4,0,S1001704
24,1001705,17050.02,2841.67,2841.67,1.51,2.96,28.07,1.22,0.91,36.52,48.779994,1915,,1001620035,MIXED,SIDEBLOCK,4,0,S1001705
25,1001706,8008.34,1334.72,1334.72,1.55,0.94,18.55,0.53,0.85,20.7,70.264211,1920,,1001620037,COMMERCIAL,SIDEBLOCK,4,0,S1001706
26,1001707,9816.68,1636.11,1636.11,0.8,0.76,16.1,0.6,0.8,22.57,73.440995,1920,,1001620038,COMMERCIAL,MIDBLOCK,4,0,S1001707
27,1001708,13939.25,2787.85,2787.85,1.32,2,20.54,1.04,0.78,25.36,47.544799,1913,,1001620041,MIXED,SIDEBLOCK,4,0,S1001708
